prefix,pageid,name,rarity_pageid
10000ScR,1034331,10000 Secret Rare,677014
20ScR,565561,20th Secret Rare,560867
CR,277779,Collector's Rare,277743
Collectors Rare,708319,Collector's Rare,277743
N,167542,Common,2310
C,205139,Common,2310
Común,378057,Common,2310
DNPR,43682,Duel Terminal Normal Parallel Rare,43670
Duel Terminal Parallel Rare,121580,Duel Terminal Normal Parallel Rare,43670
DTNPR,178538,Duel Terminal Normal Parallel Rare,43670
DNRPR,137184,Duel Terminal Normal Rare Parallel Rare,137178
DRPR,43683,Duel Terminal Rare Parallel Rare,43667
DScPR,47957,Duel Terminal Secret Parallel Rare,47742
DSPR,43685,Duel Terminal Super Parallel Rare,43675
DUPR,43687,Duel Terminal Ultra Parallel Rare,43681
EScPR,430877,Extra Secret Parallel Rare,430904
Parallel Extra Secret Rare,1024917,Extra Secret Parallel Rare,430904
EScR,255246,Extra Secret Rare,255238
ES,373510,Extra Secret Rare,255238
FR,3679,Fixed Rarity,7506
GGHR,216903,Ghost/Gold Rare,207540
Ghost/Gold Hybrid Rare,218181,Ghost/Gold Rare,207540
GGR,218254,Ghost/Gold Rare,207540
Gold Ghost Rare,325089,Ghost/Gold Rare,207540
GR,536526,Ghost Rare,511705
GUR,26339,Gold Rare,24981
Gold Ultra Rare,248506,Gold Rare,24981
GRR,959289,Gold Rush Rare,992748
GScR,269086,Gold Secret Rare,239935
Gold Secret,305490,Gold Secret Rare,239935
GS,373511,Gold Secret Rare,239935
H,567334,Hobby Rare,567302
Hobby,962773,Hobby Rare,567302
HFR,18312,Holofoil Rare,18310
HGPR,430943,Holographic Parallel Rare,430889
HR,373512,Holographic Rare,507032
HGR,507044,Holographic Rare,507032
KCC,431730,Kaiba Corporation Common,431549
KCR,431723,Kaiba Corporation Rare,431490
KCScR,567310,Kaiba Corporation Secret Rare,567216
KCSR,567309,Kaiba Corporation Super Rare,567213
KCUR,432949,Kaiba Corporation Ultra Rare,431565
MLGR,459132,Millennium Gold Rare,459131
MLR,376005,Millennium Rare,367006
MLScR,459130,Millennium Secret Rare,459129
MLSR,459125,Millennium Super Rare,459124
MLUR,459127,Millennium Ultra Rare,459126
MSR,276810,Mosaic Rare,274650
Parallel Common,14607,Normal Parallel Rare,16554
NPR,16550,Normal Parallel Rare,16554
NR,16615,Normal Rare,16573
ORR,975975,Over Rush Rare,932815
Over Rush Rare (Premium Black Version),1115342,Over Rush Rare,932815
PR,3681,Parallel Rare,2343
P,373513,Parallel Rare,2343
Parallel,976788,Parallel Rare,2343
PlR,329197,Platinum Rare,326833
PlScR,316951,Platinum Secret Rare,315784
PGR,703534,Premium Gold Rare,703533
PScR,16552,Prismatic Secret Rare,16560
QCScR,1024811,Quarter Century Secret Rare,901973
QCR,1064109,Quarter Century Secret Rare,901973
R,10433,Rare,2317
Rarity grade,585389,Rarity (grade),585383
Rush Rare (Special Red Version),1115324,Rush Rare,932805
ScPR,430942,Secret Parallel Rare,430879
Parallel Secret Rare,1024918,Secret Parallel Rare,430879
ScR,3680,Secret Rare,2331
SE,373516,Secret Rare,2331
Raro Secreto,378061,Secret Rare,2331
Scr,489200,Secret Rare,2331
Secret Rare (Special Red Version),1042512,Secret Rare,2331
Secret Rare (Special Blue Version),1116419,Secret Rare,2331
ScUR,11136,Secret Ultra Rare,11137
SHR,315641,Shatterfoil Rare,348379
Shatterfoil,318928,Shatterfoil Rare,348379
SH,985480,Shatterfoil Rare,348379
Super Short Print,16611,Short Print,16587
SP,16616,Short Print,16587
SSP,16618,Short Print,16587
Impresión Limitada,378065,Short Print,16587
Short print,985692,Short Print,16587
Starfoil,204882,Starfoil Rare,196451
SFR,204885,Starfoil Rare,196451
ST,987951,Starfoil Rare,196451
AltR,677785,Starlight Rare,676991
Alternate Rare,707819,Starlight Rare,676991
StR,988042,Starlight Rare,676991
SPR,14605,Super Parallel Rare,14611
P+SR,373514,Super Parallel Rare,14611
Parallel Super Rare,1024919,Super Parallel Rare,14611
SR,10431,Super Rare,2326
Super-Rare,370248,Super Rare,2326
Súper Raro,378059,Super Rare,2326
Test Print,708760,Test print,512330
UtR,10432,Ultimate Rare,2342
UL,331548,Ultimate Rare,2342
Raro Definitivo,378062,Ultimate Rare,2342
UPR,3692,Ultra Parallel Rare,3682
P+UR,373515,Ultra Parallel Rare,3682
Parallel Ultra Rare,1024920,Ultra Parallel Rare,3682
UR,10434,Ultra Rare,2327
Ultra Rares,184367,Ultra Rare,2327
Ultra-Rare,370250,Ultra Rare,2327
Ultra Raro,378060,Ultra Rare,2327
Ultra Rare (Special Red Version),1116270,Ultra Rare,2327
Ultra Rare (Special Purple Version),1121433,Ultra Rare,2327
Pharaoh's Rare,1000743,Ultra Rare (Pharaoh's Rare),932781
URPR,1000744,Ultra Rare (Pharaoh's Rare),932781
UR (PR),1000747,Ultra Rare (Pharaoh's Rare),932781
UScR,3689,Ultra Secret Rare,3688
Unlimited edition,70452,Unlimited Edition,14624
UE,372553,Unlimited Edition,14624
Variant Card,381556,Variant card,8225
